행정구역(시군구)별,시점,총전입[명],총전출[명],순이동[명],시도내이동-시군구내[명],시도내이동-시군구간 전입[명],시도내이동-시군구간 전출[명],시도간전입[명],시도간전출[명]
전라남도,2020. 04 월,18167,19807,-1640,7931,3896,3896,6340,7980
목포시,2020. 04 월,2944,2991,-47,1670,691,598,583,723
여수시,2020. 04 월,3547,3720,-173,2379,378,415,790,926
순천시,2020. 04 월,2802,3327,-525,1550,581,889,671,888
나주시,2020. 04 월,1202,1304,-102,386,134,154,682,764
여천시,2020. 04 월,0,0,0,0,0,0,0,0
광양시,2020. 04 월,1517,1179,338,397,644,234,476,548
담양군,2020. 04 월,353,472,-119,67,38,31,248,374
곡성군,2020. 04 월,170,252,-82,42,18,37,110,173
구례군,2020. 04 월,214,270,-56,73,45,67,96,130
여천군,2020. 04 월,0,0,0,0,0,0,0,0
고흥군,2020. 04 월,416,504,-88,131,92,120,193,253
보성군,2020. 04 월,288,351,-63,69,75,94,144,188
화순군,2020. 04 월,596,554,42,129,88,55,379,370
장흥군,2020. 04 월,301,380,-79,78,56,79,167,223
강진군,2020. 04 월,281,367,-86,122,45,68,114,177
해남군,2020. 04 월,465,582,-117,160,112,130,193,292
영암군,2020. 04 월,447,533,-86,128,152,130,167,275
무안군,2020. 04 월,781,762,19,104,418,336,259,322
함평군,2020. 04 월,176,260,-84,59,23,39,94,162
영광군,2020. 04 월,365,444,-79,112,44,49,209,283
장성군,2020. 04 월,474,537,-63,87,31,36,356,414
완도군,2020. 04 월,334,386,-52,78,61,78,195,230
진도군,2020. 04 월,233,244,-11,78,44,54,111,112
신안군,2020. 04 월,261,388,-127,32,126,203,103,153
경상북도,2020. 04 월,28090,29790,-1700,13867,4979,4979,9244,10944
포항시,2020. 04 월,5813,6103,-290,3905,566,489,1342,1709
경주시,2020. 04 월,2476,2625,-149,1284,326,355,866,986
김천시,2020. 04 월,1539,1698,-159,842,273,301,424,555
안동시,2020. 04 월,1932,2166,-234,1201,311,428,420,537
구미시,2020. 04 월,4373,4703,-330,2241,900,742,1232,1720
영주시,2020. 04 월,1189,1288,-99,739,190,188,260,361
영천시,2020. 04 월,1450,1206,244,565,316,223,569,418
상주시,2020. 04 월,1042,1308,-266,614,181,225,247,469
문경시,2020. 04 월,774,863,-89,369,109,161,296,333
경산시,2020. 04 월,2981,2852,129,1117,455,381,1409,1354
군위군,2020. 04 월,174,222,-48,21,48,75,105,126
의성군,2020. 04 월,342,384,-42,75,81,105,186,204
청송군,2020. 04 월,208,239,-31,33,90,84,85,122
영양군,2020. 04 월,95,121,-26,26,29,42,40,53
영덕군,2020. 04 월,283,387,-104,100,80,140,103,147
청도군,2020. 04 월,360,354,6,104,61,57,195,193
고령군,2020. 04 월,286,314,-28,36,26,29,224,249
성주군,2020. 04 월,371,395,-24,70,78,85,223,240
칠곡군,2020. 04 월,935,1065,-130,137,342,443,456,485
예천군,2020. 04 월,636,475,161,105,324,165,207,205
봉화군,2020. 04 월,230,256,-26,59,67,91,104,106
울진군,2020. 04 월,510,595,-85,203,113,104,194,288
울릉군,2020. 04 월,91,171,-80,21,13,66,57,84
경상남도,2020. 04 월,32365,34061,-1696,16780,5930,5930,9655,11351
창원시,2020. 04 월,0,0,0,0,0,0,0,0
창원시,2020. 04 월,10267,11003,-736,6549,1434,1623,2284,2831
울산시,2020. 04 월,0,0,0,0,0,0,0,0
마산시,2020. 04 월,0,0,0,0,0,0,0,0
진주시,2020. 04 월,3834,3803,31,2280,798,584,756,939
진해시,2020. 04 월,0,0,0,0,0,0,0,0
통영시,2020. 04 월,1204,1387,-183,704,229,284,271,399
사천시,2020. 04 월,1114,1249,-135,553,314,367,247,329
김해시,2020. 04 월,5415,5230,185,2541,1072,861,1802,1828
밀양시,2020. 04 월,1112,1168,-56,566,192,186,354,416
거제시,2020. 04 월,2580,2689,-109,1338,390,314,852,1037
양산시,2020. 04 월,3524,3691,-167,1475,306,345,1743,1871
의령군,2020. 04 월,168,202,-34,43,69,84,56,75
함안군,2020. 04 월,488,584,-96,111,252,316,125,157
창녕군,2020. 04 월,523,532,-9,117,182,163,224,252
양산군,2020. 04 월,0,0,0,0,0,0,0,0
고성군,2020. 04 월,329,332,-3,62,158,141,109,129
남해군,2020. 04 월,271,356,-85,77,61,111,133,168
하동군,2020. 04 월,300,451,-151,91,97,147,112,213
산청군,2020. 04 월,274,288,-14,40,140,138,94,110
함양군,2020. 04 월,321,315,6,80,100,83,141,152
거창군,2020. 04 월,315,399,-84,84,66,98,165,217
합천군,2020. 04 월,326,382,-56,69,70,85,187,228
제주특별자치도,2020. 04 월,8618,8527,91,5032,905,905,2681,2590
제주시,2020. 04 월,6270,6102,168,3970,531,374,1769,1758
서귀포시,2020. 04 월,2348,2425,-77,1062,374,531,912,832
북제주군,2020. 04 월,0,0,0,0,0,0,0,0
남제주군,2020. 04 월,0,0,0,0,0,0,0,0
