"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"해남군","2020. 08 월","69274","34182","35092",
"영암군","2020. 08 월","54045","27777","26268",
"무안군","2020. 08 월","83006","41659","41347",
"함평군","2020. 08 월","32238","16130","16108",
"영광군","2020. 08 월","53365","26601","26764",
"장성군","2020. 08 월","44921","23049","21872",
"완도군","2020. 08 월","50153","25208","24945",
"진도군","2020. 08 월","30385","14912","15473",
"신안군","2020. 08 월","39386","20967","18419",
"경상북도","2020. 08 월","2640932","1329919","1311013",
"포항시","2020. 08 월","503883","254726","249157",
"남구","2020. 08 월","231180","119132","112048",
"북구","2020. 08 월","272703","135594","137109",
"경주시","2020. 08 월","253460","126913","126547",
"김천시","2020. 08 월","140511","70498","70013",
"안동시","2020. 08 월","158867","78653","80214",
"구미시","2020. 08 월","416551","213796","202755",
"영주시","2020. 08 월","103652","51379","52273",
"영천시","2020. 08 월","101523","51571","49952",
"상주시","2020. 08 월","97875","48001","49874",
"문경시","2020. 08 월","71258","34890","36368",
"경산시","2020. 08 월","262300","132072","130228",
"군위군","2020. 08 월","23409","11945","11464",
"의성군","2020. 08 월","51940","25384","26556",
"청송군","2020. 08 월","25122","12558","12564",
"영양군","2020. 08 월","16680","8244","8436",
"영덕군","2020. 08 월","36591","17334","19257",
"청도군","2020. 08 월","42480","20863","21617",
"고령군","2020. 08 월","31477","16110","15367",
"성주군","2020. 08 월","43319","22416","20903",
"칠곡군","2020. 08 월","114889","59903","54986",
"예천군","2020. 08 월","55457","27288","28169",
"봉화군","2020. 08 월","31701","15958","15743",
"울진군","2020. 08 월","48776","24399","24377",
"울릉군","2020. 08 월","9211","5018","4193",
"경상남도","2020. 08 월","3345169","1684134","1661035",
"창원시","2020. 08 월","1038677","526309","512368",
"의창구","2020. 08 월","263432","134043","129389",
"성산구","2020. 08 월","216218","110519","105699",
"마산합포구","2020. 08 월","174879","87023","87856",
"마산회원구","2020. 08 월","191618","96161","95457",
"진해구","2020. 08 월","192530","98563","93967",
"진주시","2020. 08 월","347262","171852","175410",
"통영시","2020. 08 월","129226","64957","64269",
"사천시","2020. 08 월","111440","56204","55236",
"김해시","2020. 08 월","542538","274363","268175",
"밀양시","2020. 08 월","105026","51453","53573",
"거제시","2020. 08 월","246402","129473","116929",
"양산시","2020. 08 월","351691","176488","175203",
"의령군","2020. 08 월","26883","13153","13730",
"함안군","2020. 08 월","64497","32707","31790",
"창녕군","2020. 08 월","61590","30605","30985",
"고성군","2020. 08 월","51630","25895","25735",
"남해군","2020. 08 월","42980","20687","22293",
"하동군","2020. 08 월","45257","22558","22699",
"산청군","2020. 08 월","35071","17203","17868",
"함양군","2020. 08 월","39236","18905","20331",
"거창군","2020. 08 월","61468","30013","31455",
"합천군","2020. 08 월","44295","21309","22986",
"제주특별자치도","2020. 08 월","672524","337822","334702",
"제주시","2020. 08 월","491184","246206","244978",
"서귀포시","2020. 08 월","181340","91616","89724",
